source,target,value,,,,
10.4018/jec.2012100101,adaptive educational system (AES),1,,,,
10.1109/ICETA.2017.8102463,Team Syntegrity Model _TSM ,1,,,,
10.1016/J.CHB.2013.04.030,adaptive educational system (AES),1,,,,
10.3217/jucs-011-09-1505,adaptive educational system (AES),1,,,,
10.3217/jucs-011-09-1505,"E-learning systems andmanage their interactions",1,,,,
10.3217/jucs-011-09-1505,VALCAM algorithm ,1,,,,
10.1.1.167.4896,"E-learning systems andmanage their interactions",1,,,,
10.1145/1160633.1160933, Jigsaw learning,1,,,,
10.1007/978-3-642-34010-9_9, Jigsaw learning,1,,,,
10.1002/cae.21832,rule-based recommendation,1,,,,
10.1007/978-3-642-41347-6,rule-based recommendation,1,,,,
10.1002/cae.21655,"E-learning systems andmanage their interactions",1,,,,
10.1002/cae.21655,rule-based recommendation,1,,,,
10.1109/FIE.2007.4418095, Jigsaw learning,1,,,,
10.1145/2526968.2526987,VALCAM algorithm ,1,,,,
10.1145/2839509.2844615,adaptive educational system (AES),1,,,,
10.1007/978-3-319-91743-6_26,VALCAM algorithm ,1,,,,
10.1076/csed.11.3.247.3837, Jigsaw learning,1,,,,
10.1109/ICALT.2003.1215118,VALCAM algorithm ,1,,,,
10.1109/TLT.2011.2,adaptive educational system (AES),1,,,,
10.1109/TLT.2010.28,"E-learning systems andmanage their interactions",1,,,,
10.1109/FIE.2007.4418095,"E-learning systems andmanage their interactions",1,,,,
10.1016/J.CHB.2013.04.030, Jigsaw learning,1,,,,
10.1076/csed.12.3.197.8618, coalition formation algorithm,1,,,,
10.1109/FIE.2006.322313,"E-learning systems andmanage their interactions",1,,,,
10.1109/SII.2017.8279283,"E-learning systems andmanage their interactions",1,,,,
10.1145/2659532.2659620,rule-based recommendation,1,,,,
10.1145/2325296.2325338, Jigsaw learning,1,,,,
10.1145/3159450.3159518, coalition formation algorithm,1,,,,
10.1109/TLT.2009.50,adaptive educational system (AES),1,,,,
10.1007/s11257-011-9106-8, coalition formation algorithm,1,,,,
10.1007/s40593-016-0107-y,Team Syntegrity Model _TSM ,1,,,,
10.1007/s40593-016-0107-y,adaptive educational system (AES),1,,,,
10.1145/2408776.2408787,adaptive educational system (AES),1,,,,
10.1145/2787622.2787731, coalition formation algorithm,1,,,,
10.1145/2787622.2787719, Jigsaw learning,1,,,,
10.1145/2676723.2691877,predict student behaviors,1,,,,
10.1145/2676723.2691877, coalition formation algorithm,1,,,,
10.1145/2325296.2325332,predict student behaviors,1,,,,
10.1016/j.procs.2014.12.021,adaptive educational system (AES),1,,,,
10.1145/2590651.2590680,predict student behaviors,1,,,,
10.1016/j.chb.2013.04.030, Jigsaw learning,1,,,,
issn = 2307-4108,Team Syntegrity Model _TSM ,1,,,,
issn = 2307-4108, coalition formation algorithm,1,,,,
isbn = 978-1-57735-281-5,rule-based recommendation,1,,,,
isbn = 1-58603-573-8,"E-learning systems andmanage their interactions",1,,,,
isbn = 1505-1517,"E-learning systems andmanage their interactions",1,,,,
10.1007/378-3-313-31743-5_25,adaptive educational system (AES),1,,,,
10.1075/csed.12.3.247.3837, coalition formation algorithm,1,,,,
10.1203/ICALT.2003.1215128,adaptive educational system (AES),1,,,,
10.1203/TLT.2012.2, Jigsaw learning,1,,,,
10.1203/TLT.2010.28, coalition formation algorithm,1,,,,
10.1203/FIE.2007.4418035,adaptive educational system (AES),1,,,,
10.1015/J.CHB.2013.04.030,rule-based recommendation,1,,,,
10.1075/csed.12.3.137.8518,rule-based recommendation,1,,,,
10.1203/FIE.2005.322313,adaptive educational system (AES),1,,,,
10.1203/FIE.2005.322313, Jigsaw learning,1,,,,
10.1203/SII.2015.8273283, coalition formation algorithm,1,,,,
10.1245/2553532.2553520,rule-based recommendation,1,,,,
10.1245/2325235.2325338, coalition formation algorithm,1,,,,
10.1245/3153450.3153518,Team Syntegrity Model _TSM ,1,,,,
10.1203/TLT.2003.50,adaptive educational system (AES),1,,,,
10.1007/s12257-012-3105-8,predict student behaviors,1,,,,
10.1007/s40533-015-0107-y, Jigsaw learning,1,,,,
10.1245/2408775.2408787,predict student behaviors,1,,,,
10.1245/2408775.2408787, coalition formation algorithm,1,,,,
10.1245/2787522.2787731,predict student behaviors,1,,,,
10.1245/2787522.2787713,adaptive educational system (AES),1,,,,
10.1245/2575723.2531877,Team Syntegrity Model _TSM ,1,,,,
10.1245/2325235.2325332, Jigsaw learning,1,,,,
