id,value
CATEGORIES,
CATEGORIES.PAPERS,
CATEGORIES.PAPERS.Academic_courses,
CATEGORIES.PAPERS.Academic_courses.10_1_1_167_4896,1
CATEGORIES.PAPERS.Academic_courses.10_1002/cae_21655,1
CATEGORIES.PAPERS.Academic_courses.10_1109/FIE_2006_322313,1
CATEGORIES.PAPERS.Academic_courses.10_1109/FIE_2007_4418095,1
CATEGORIES.PAPERS.Academic_courses.10_1109/SII_2017_8279283,1
CATEGORIES.PAPERS.Academic_courses.10_1109/TLT_2010_28,1
CATEGORIES.PAPERS.Academic_courses.10_3217/jucs-011-09-1505,1
CATEGORIES.PAPERS.Academic_courses.isbn=1-58603-573-8,1
CATEGORIES.PAPERS.Academic_courses.isbn=1505-1517,1
CATEGORIES.PAPERS.Artificial_Intelligence,
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining,
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1007/s12257-012-3105-8,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1145/2325296_2325332,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1145/2590651_2590680,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1145/2676723_2691877,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1245/2408775_2408787,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1245/2787522_2787731,1
CATEGORIES.PAPERS.Artificial_Intelligence.Natural_Language_Processing,
CATEGORIES.PAPERS.Artificial_Intelligence.Natural_Language_Processing.10_4e18/rof_2014105151,1
CATEGORIES.PAPERS.Artificial_Intelligence.Natural_Language_Processing.isbn=1-55463-6546-2,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks,
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1007/978-3-642-34010-9_9,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1007/s40533-015-0107-y,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1016/J_CHB_2013_04_030,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1076/csed_11_3_247_3837,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1109/FIE_2007_4418095,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1145/1160633_1160933,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1145/2325296_2325338,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1145/2787622_2787719,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1203/FIE_2005_322313,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1203/TLT_2012_2,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1245/2325235_2325332,1
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods,
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods.10_1007/s40593-016-0107-y,1
