id,value
Categories,
Categories.Academiccourses,
Categories.Academiccourses.https://github/susana/beat-visualizer,1
Categories.Academiccourses.https://github/codejamninja/jams-programming-guide,1
Categories.Academiccourses.https://github/gleneivey/pairmatic2,1
Categories.Academiccourses.https://github/drawpile/Drawpile,1
Categories.Academiccourses.https://github/rroohhh/draw,1
Categories.Academiccourses.https://github/code-friends/CodeFriends,1
Categories.Academiccourses.https://github/ugwis/AtCoder-Recommendation,1
Categories.Academiccourses.https://github/ehaughee/collabit,1
Categories.Academiccourses.https://github/1j01/multifiddle,1
Categories.Academiccourses.https://github/thisandagain/turtle,1
Categories.Academiccourses.https://github/Starmonkeys/website,1
Categories.Academiccourses.https://github/silshack/fall2013,1
Categories.Academiccourses.https://github/amber/amber,1
Categories.Academiccourses.https://github/joeljfischer/meteor-collabmirror,1
Categories.Academiccourses.https://github/nebigdatahub/crux,1
Categories.Academiccourses.https://github/otaruMendez/XtremeX,1
Categories.Academiccourses.https://github/scottedwards/collaborative-text-editor,1
Categories.Academiccourses.https://github/Spacerat/CollabPaint,1
Categories.Academiccourses.https://github/achristoph/Collaborative-Filtering,1
Categories.Academiccourses.https://github/DubFriend/GraffitiWall,1
Categories.Academiccourses.https://github/lonewoolf/Maching-Learning-Programs,1
Categories.Academiccourses.https://github/gleneivey/pairmatic,1
Categories.Academiccourses.https://github/Progr-RRR/ZHR,1
Categories.Academiccourses.https://github/acarrillo/sCribble,1
Categories.Academiccourses.https://github/HerculesWS/Hercules,1
Categories.Academiccourses.https://github/hpnhxxwn/Yelp-data-analysis-and-recommender-system,1
Categories.Academiccourses.https://github/b-adams/Wells_Sp12_CS132_Project,1
Categories.Academiccourses.https://github/8l/pijul,1
Categories.Academiccourses.https://github/bryonf/YouJustGotPawned,1
Categories.Academiccourses.https://github/hacktunes/hacktunes,1
Categories.Academiccourses.https://github/ajzdunek/whatsForDinner-App,1
Categories.Academiccourses.https://github/sapphireblu117/From-Beginners-to-Winners,1
Categories.Academiccourses.https://github/domainxz/vcrs,1
Categories.Academiccourses.https://github/niyatpatel23295/Apache-Spark-Recommender-System,1
Categories.Academiccourses.https://github/rzere/Course_Timetabling_Research,1
Categories.Academiccourses.https://github/asketsus/Wikicode-for-Moodle-2,1
Categories.Academiccourses.https://github/usnistgov/CRPI,1
Categories.Academiccourses.https://github/jenreiher/wtfiswednesdays,1
Categories.Academiccourses.https://github/shannonpeng/plix,1
Categories.Academiccourses.https://github/otavio-cesar/cetecop,1
Categories.Academiccourses.https://github/18sears-nathan/ChatProgram2016,1
Categories.Academiccourses.https://github/HPCGISLab/pcml,1
Categories.Academiccourses.https://github/JonathanRys/OrganismIdent,1
Categories.Academiccourses.https://github/dimroc/collabcode,1
Categories.Academiccourses.https://github/vbsteja/deeplearning1,1
Categories.Academiccourses.https://github/KyleZcode/gittinZiggyWithIt,1
Categories.Academiccourses.https://github/Zayd-Waves/cipher,1
Categories.Academiccourses.https://github/lambdaone-io/apprentice-resources,1
Categories.Academiccourses.https://github/snh-clj/collab,1
Categories.Academiccourses.https://github/hopelessoptimism/mondocode,1
Categories.Academiccourses.https://github/mldss/pci-summary,1
Categories.Academiccourses.https://github/radiatoryang/nyu_studio_spring2014,1
Categories.Academiccourses.https://github/ats-lang/ATS-CodeBook,1
Categories.Academiccourses.https://github/braydie/HowToBeAProgrammer,1
Categories.Academiccourses.https://github/xviniette/FlappyLearning,1
Categories.Academiccourses.https://github/ctuning/reproduce-milepost-project,1
Categories.Academiccourses.https://github/elixirschool/elixirschool,1
Categories.Academiccourses.https://github/chetannaik/learning_torch,1
Categories.Academiccourses.https://github/lenmus/lenmus,1
Categories.Academiccourses.https://github/JoshCheek/ruby-kickstart,1
Categories.Academiccourses.https://github/ehmatthes/intro_programming,1
Categories.Academiccourses.https://github/codebasics/py,1
Categories.Academiccourses.https://github/ollie-williams/SwiftParsec,1
Categories.Academiccourses.https://github/timestocome/Test-stock-prediction-algorithms,1
Categories.Academiccourses.https://github/ALRW/dayAsADev,1
Categories.Academiccourses.https://github/thebreadboard/Arduino-Tutorials,1
Categories.Academiccourses.https://github/wsnewman/learning_ros,1
Categories.Academiccourses.https://github/ajielee/mini-projects-while-learning-python,1
Categories.Academiccourses.https://github/adafruit/Adafruit_Learning_System_Guides,1
Categories.Academiccourses.https://github/GersonLazaro/learn-x-if-you-know-y,1
Categories.Academiccourses.https://github/jondot/awesome-aha,1
