id,value
Artificial,
Artificial.Academiccourses,
Academiccourses.susana-beat-visualizer,1
Academiccourses.codejamninja-jams-programming-guide,1
Academiccourses.gleneivey-pairmatic2,1
Academiccourses.drawpile-Drawpile,1
Academiccourses.rroohhh-draw,1
Academiccourses.code-friends-CodeFriends,1
Academiccourses.ugwis-AtCoder-Recommendation,1
Academiccourses.ehaughee-collabit,1
Academiccourses.1j01-multifiddle,1
Academiccourses.thisandagain-turtle,1
Academiccourses.Starmonkeys-website,1
Academiccourses.silshack-fall2013,1
Academiccourses.amber-amber,1
Academiccourses.joeljfischer-meteor-collabmirror,1
Academiccourses.nebigdatahub-crux,1
Academiccourses.otaruMendez-XtremeX,1
