source	 target	value	
https://github.com/musicalglass/AKA	Data mining	1	
https://github.com/mikaelbr/frp-piano	Natural Language Processing	1	
https://github.com/natesmith83/WSU_GoBabyGo_Programming	Natural Language Processing	1	
https://github.com/karstenv/webmapping-with-qgismapserver-workshop	Support Vector Machines	1	
https://github.com/karstenv/webmapping-with-qgismapserver-workshop	Support Vector Machines	1	
https://github.com/lemmatheultimate/weblog	Neural Networks	1	
https://github.com/lemmatheultimate/weblog	Prediction based on statistical methods	1	
https://github.com/daletoniris/JarvisIA	Prediction based on statistical methods	1	
https://github.com/chankwpj/CUROP2016	Neural Networks	1	
https://github.com/chankwpj/CUROP2016	Data mining	1	
https://github.com/asymptoticdesign/Programming-Visual-and-Generative-Art	Natural Language Processing	1	
https://github.com/asymptoticdesign/Programming-Visual-and-Generative-Art	Prediction based on statistical methods	1	
https://github.com/epfl-lasa/ML_toolbox	Neural Networks	1	
https://github.com/abbood/audioSamplingToAudioQueue	Neural Networks	1	
https://github.com/kknet/AlgorithmicTrading	Neural Networks	1	
https://github.com/marcojakob/code.makery.ch	Simulated annealing	1	
https://github.com/andela-foladeji/License-Plate-Recognition-Nigerian-vehicles	Neural Networks	1	
https://github.com/vrdmr/CS273a-Introduction-to-Machine-Learning	Neural Networks	1	
https://github.com/vrdmr/CS273a-Introduction-to-Machine-Learning	Data mining	1	
https://github.com/loliverhennigh/Computational-Fluid-Dynamics-Machine-Learning-Examples	Neural Networks	1	
https://github.com/JacobPlaster/ann-writer	Neural Networks	1	
https://github.com/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming	Natural Language Processing	1	
https://github.com/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming	Neural Networks	1	
https://github.com/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming	Prediction based on statistical methods	1	
https://github.com/shionguha/cosc3570-introdatascience-fa18	Neural Networks	1	
https://github.com/davidoshiro/Learning-Lua	Neural Networks	1	
https://github.com/mrsan22/CS109-STAT121-DataScience_Course	Data mining	1	
https://github.com/mrsan22/CS109-STAT121-DataScience_Course	Prediction based on statistical methods	1	
https://github.com/muhammedbasuney/CS106A-ProgrammingMethodology	Natural Language Processing	1	
https://github.com/muhammedbasuney/CS106A-ProgrammingMethodology	Support Vector Machines	1	
https://github.com/muhammedbasuney/CS106A-ProgrammingMethodology	Prediction based on statistical methods	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Simulated annealing	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Support Vector Machines	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Data mining	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Prediction based on statistical methods	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	Natural Language Processing	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	Neural Networks	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	Support Vector Machines	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	Prediction based on statistical methods	1	
https://github.com/CarlosSaraiva/bndPssFltr	Data mining	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	Natural Language Processing	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	Neural Networks	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	Support Vector Machines	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	Prediction based on statistical methods	1	
https://github.com/nasiruzzaman/datasciencecoursera	Prediction based on statistical methods	1	
https://github.com/shbnq422/cv	Data mining	1	
https://github.com/arjun1237/Inheritance---Java	Natural Language Processing	1	
https://github.com/arjun1237/Inheritance---Java	Simulated annealing	1	
https://github.com/arjun1237/Inheritance---Java	Neural Networks	1	
https://github.com/arjun1237/Inheritance---Java	Support Vector Machines	1	
https://github.com/gouthamiexcelr/PMP-Certification-Training-in-Malaysia-Project-Management-Training-in-Malaysia	Natural Language Processing	1	
https://github.com/gouthamiexcelr/PMP-Certification-Training-in-Malaysia-Project-Management-Training-in-Malaysia	Data mining	1	
https://github.com/miteshgoplani/Student-Database-Mangagement-System	Data mining	1	
https://github.com/TwgInternational/Import-Export-Management	Data mining	1	
https://github.com/TwgInternational/Import-Export-Management	Prediction based on statistical methods	1	
https://github.com/TLNsrivalli/atOnePage	Natural Language Processing	1	
https://github.com/TLNsrivalli/atOnePage	Simulated annealing	1	
https://github.com/TLNsrivalli/atOnePage	Neural Networks	1	
https://github.com/TLNsrivalli/atOnePage	Data mining	1	
https://github.com/TLNsrivalli/atOnePage	Prediction based on statistical methods	1	
https://github.com/coachingce1/coachingce1	Data mining	1	
https://github.com/RagyHutch/relias-movie-project	Prediction based on statistical methods	1	
https://github.com/yty/A.R.C.	Simulated annealing	1	
https://github.com/yty/A.R.C.	Neural Networks	1	
https://github.com/uluumy/Data4People-Women-s-Health-Risk-Assessment	Neural Networks	1	
https://github.com/ChristianHur/152-187-Web-Program-Orientation	Natural Language Processing	1	
https://github.com/ChristianHur/152-187-Web-Program-Orientation	Data mining	1	
https://github.com/ScottehBoeh/assessment-glencaldy-learning-centre	Prediction based on statistical methods	1	
https://github.com/xrd/ChitStat	Platforms	1	
https://github.com/xrd/ChitStat	Application Programming Interface (API)	1	
https://github.com/susana/beat-visualizer	Platforms	1	
https://github.com/susana/beat-visualizer	Academic courses	1	
https://github.com/codejamninja/jams-programming-guide	Academic courses	1	
https://github.com/overtone/overtone	Platforms	1	
https://github.com/overtone/overtone	Prediction based on statistical methods	1	
https://github.com/gleneivey/pairmatic2	Platforms	1	
https://github.com/gleneivey/pairmatic2	Academic courses	1	
https://github.com/drawpile/Drawpile	Platforms	1	
https://github.com/drawpile/Drawpile	Academic courses	1	
https://github.com/rroohhh/draw	Academic courses	1	
https://github.com/code-friends/CodeFriends	Platforms	1	
https://github.com/code-friends/CodeFriends	Academic courses	1	
https://github.com/ugwis/AtCoder-Recommendation	Academic courses	1	
https://github.com/ehaughee/collabit	Academic courses	1	
https://github.com/1j01/multifiddle	Platforms	1	
https://github.com/1j01/multifiddle	Academic courses	1	
https://github.com/thisandagain/turtle	Platforms	1	
https://github.com/thisandagain/turtle	Academic courses	1	
https://github.com/Starmonkeys/website	Platforms	1	
https://github.com/Starmonkeys/website	Academic courses	1	
https://github.com/silshack/fall2013	Academic courses	1	
https://github.com/TI-Planet/Project-Builder	Development of tools	1	
https://github.com/amber/amber	Platforms	1	
https://github.com/amber/amber	Academic courses	1	
https://github.com/joeljfischer/meteor-collabmirror	Platforms	1	
https://github.com/joeljfischer/meteor-collabmirror	Academic courses	1	
https://github.com/mostafa/iptables_book	Platforms	1	
https://github.com/nebigdatahub/crux	Academic courses	1	
https://github.com/otaruMendez/XtremeX	Academic courses	1	
https://github.com/scottedwards/collaborative-text-editor	Platforms	1	
https://github.com/scottedwards/collaborative-text-editor	Academic courses	1	
https://github.com/gthorisson/vivo-orcidextensions	Platforms	1	
https://github.com/Spacerat/CollabPaint	Platforms	1	
https://github.com/Spacerat/CollabPaint	Academic courses	1	
https://github.com/achristoph/Collaborative-Filtering	Platforms	1	
https://github.com/achristoph/Collaborative-Filtering	Academic courses	1	
https://github.com/DubFriend/GraffitiWall	Platforms	1	
https://github.com/DubFriend/GraffitiWall	Academic courses	1	
https://github.com/lonewoolf/Maching-Learning-Programs	Neural Networks	1	
https://github.com/lonewoolf/Maching-Learning-Programs	Natural Language Processing	1	
https://github.com/lonewoolf/Maching-Learning-Programs	Data mining	1	
https://github.com/lonewoolf/Maching-Learning-Programs	Prediction based on statistical methods	1	
https://github.com/lonewoolf/Maching-Learning-Programs	Platforms	1	
https://github.com/lonewoolf/Maching-Learning-Programs	Academic courses	1	
https://github.com/gleneivey/pairmatic	Platforms	1	
https://github.com/gleneivey/pairmatic	Academic courses	1	
https://github.com/Progr-RRR/ZHR	Academic courses	1	
https://github.com/acarrillo/sCribble	Platforms	1	
https://github.com/acarrillo/sCribble	Academic courses	1	
https://github.com/MDSilber/Networks-Programming-Assignment--1	Development of tools	1	
https://github.com/adaipule/MovieRecommendation	Platforms	1	
https://github.com/adaipule/MovieRecommendation	Development of tools	1	
https://github.com/Aidanie/codeedit	Platforms	1	
https://github.com/HerculesWS/Hercules	Platforms	1	
