id,value
CATEGORIES,
CATEGORIES.PAPERS,
CATEGORIES.PAPERS.Academic_courses,
CATEGORIES.PAPERS.Academic_courses.10_1_1_167_4896,1
CATEGORIES.PAPERS.Academic_courses.10_1002/cae_21655,1
CATEGORIES.PAPERS.Academic_courses.10_1109/FIE_2006_322313,1
CATEGORIES.PAPERS.Academic_courses.isbn=1-58603-573-8,1
CATEGORIES.PAPERS.Academic_courses.isbn=1505-1517,1
CATEGORIES.PAPERS.Artificial_Intelligence,
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining,
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1007/s12257-012-3105-8,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1145/2325296_2325332,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1145/2590651_2590680,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1145/2676723_2691877,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1245/2408775_2408787,1
CATEGORIES.PAPERS.Artificial_Intelligence.Datamining.10_1245/2787522_2787731,1
CATEGORIES.PAPERS.Artificial_Intelligence.Natural_Language_Processing,
CATEGORIES.PAPERS.Artificial_Intelligence.Natural_Language_Processing.10_4e18/rof_2014105151,1
CATEGORIES.PAPERS.Artificial_Intelligence.Natural_Language_Processing.isbn=1-55463-6546-2,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks,
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1145/2325296_2325338,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1145/2787622_2787719,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1203/FIE_2005_322313,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1203/TLT_2012_2,1
CATEGORIES.PAPERS.Artificial_Intelligence.Neural_Networks.10_1245/2325235_2325332,1
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods,
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods.10_1007/s40593-016-0107-y,1
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods.10_1109/ICETA_2017_8102463,1
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods.10_1245/2575723_2531877,1
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods.10_1245/3153450_3153518,1
CATEGORIES.PAPERS.Artificial_Intelligence.Prediction_based_on_statistical_methods.issn=2307-4108,1
CATEGORIES.PAPERS.Artificial_Intelligence.Support_Vector_Machines,
CATEGORIES.PAPERS.Artificial_Intelligence.Support_Vector_Machines.10_1007/s11257-011-9106-8,1
CATEGORIES.PAPERS.Artificial_Intelligence.Support_Vector_Machines.10_1075/csed_12_3_247_3837,1
CATEGORIES.PAPERS.Artificial_Intelligence.Support_Vector_Machines.10_1245/2325235_2325338,1
CATEGORIES.PAPERS.Artificial_Intelligence.Support_Vector_Machines.10_1245/2408775_2408787,1
