source	target	value
https://github.com/xrd/ChitStat	Platforms	1
https://github.com/xrd/ChitStat	Application Programming Interface (API)	1
https://github.com/susana/beat-visualizer	Platforms	1
https://github.com/susana/beat-visualizer	Academiccourses	1
https://github.com/codejamninja/jams-programming-guide	Academiccourses	1
https://github.com/overtone/overtone	Platforms	1
https://github.com/overtone/overtone	Predictionbasedonstatisticalmethods	1
https://github.com/gleneivey/pairmatic2	Platforms	1
https://github.com/gleneivey/pairmatic2	Academiccourses	1
https://github.com/drawpile/Drawpile	Platforms	1
https://github.com/drawpile/Drawpile	Academiccourses	1
https://github.com/rroohhh/draw	Academiccourses	1
https://github.com/code-friends/CodeFriends	Platforms	1
https://github.com/code-friends/CodeFriends	Academiccourses	1
https://github.com/ugwis/AtCoder-Recommendation	Academiccourses	1
https://github.com/ehaughee/collabit	Academiccourses	1
https://github.com/1j01/multifiddle	Platforms	1
https://github.com/1j01/multifiddle	Academiccourses	1
https://github.com/thisandagain/turtle	Platforms	1
https://github.com/thisandagain/turtle	Academiccourses	1
https://github.com/Starmonkeys/website	Platforms	1
https://github.com/Starmonkeys/website	Academiccourses	1
https://github.com/silshack/fall2013	Academiccourses	1
https://github.com/TI-Planet/Project-Builder	Developmentoftools	1
https://github.com/amber/amber	Platforms	1
https://github.com/amber/amber	Academiccourses	1
https://github.com/joeljfischer/meteor-collabmirror	Platforms	1
https://github.com/joeljfischer/meteor-collabmirror	Academiccourses	1
https://github.com/mostafa/iptables_book	Platforms	1
https://github.com/nebigdatahub/crux	Academiccourses	1
https://github.com/otaruMendez/XtremeX	Academiccourses	1
https://github.com/scottedwards/collaborative-text-editor	Platforms	1
https://github.com/scottedwards/collaborative-text-editor	Academiccourses	1
https://github.com/gthorisson/vivo-orcidextensions	Platforms	1
https://github.com/Spacerat/CollabPaint	Platforms	1
https://github.com/Spacerat/CollabPaint	Academiccourses	1
https://github.com/achristoph/Collaborative-Filtering	Platforms	1
https://github.com/achristoph/Collaborative-Filtering	Academiccourses	1
https://github.com/DubFriend/GraffitiWall	Platforms	1
https://github.com/DubFriend/GraffitiWall	Academiccourses	1
https://github.com/lonewoolf/Maching-Learning-Programs	NeuralNetworks	1
https://github.com/lonewoolf/Maching-Learning-Programs	NaturalLanguageProcessing	1
https://github.com/lonewoolf/Maching-Learning-Programs	Datamining	1
https://github.com/lonewoolf/Maching-Learning-Programs	Predictionbasedonstatisticalmethods	1
https://github.com/lonewoolf/Maching-Learning-Programs	Platforms	1
https://github.com/lonewoolf/Maching-Learning-Programs	Academiccourses	1
https://github.com/gleneivey/pairmatic	Platforms	1
https://github.com/gleneivey/pairmatic	Academiccourses	1
https://github.com/Progr-RRR/ZHR	Academiccourses	1
https://github.com/acarrillo/sCribble	Platforms	1
https://github.com/acarrillo/sCribble	Academiccourses	1
https://github.com/MDSilber/Networks-Programming-Assignment--1	Developmentoftools	1
https://github.com/adaipule/MovieRecommendation	Platforms	1
https://github.com/adaipule/MovieRecommendation	Developmentoftools	1
https://github.com/Aidanie/codeedit	Platforms	1
https://github.com/HerculesWS/Hercules	Platforms	1
https://github.com/HerculesWS/Hercules	Application Programming Interface (API)	1
https://github.com/HerculesWS/Hercules	Developmentoftools	1
https://github.com/HerculesWS/Hercules	Academiccourses	1
https://github.com/HerculesWS/Hercules	Gamesoflearning	1
https://github.com/KingChezzy/AdventureGame	Gamesoflearning	1
https://github.com/hpnhxxwn/Yelp-data-analysis-and-recommender-system	Academiccourses	1
https://github.com/b-adams/Wells_Sp12_CS132_Project	Academiccourses	1
https://github.com/8l/pijul	Academiccourses	1
https://github.com/bryonf/YouJustGotPawned	Academiccourses	1
https://github.com/hacktunes/hacktunes	Academiccourses	1
https://github.com/ajzdunek/whatsForDinner-App	Platforms	1
https://github.com/ajzdunek/whatsForDinner-App	Application Programming Interface (API)	1
https://github.com/ajzdunek/whatsForDinner-App	Academiccourses	1
https://github.com/sapphireblu117/From-Beginners-to-Winners	Platforms	1
https://github.com/sapphireblu117/From-Beginners-to-Winners	Academiccourses	1
https://github.com/domainxz/vcrs	Platforms	1
