id,value
Categories,
Categories.Application Programming Interface,
Categories.Application Programming Interface.https://github/xrd/ChitStat,1
Categories.Application Programming Interface.https://github/HerculesWS/Hercules,1
Categories.Application Programming Interface.https://github/ajzdunek/whatsForDinner-App,1
Categories.Application Programming Interface.https://github/ctuning/ctuning-datasets-min,1
Categories.Application Programming Interface.https://github/MikeTheWatchGuy/PySimpleGUI,1
Categories.Application Programming Interface.https://github/Re1tReddy/Spark,1
Categories.Application Programming Interface.https://github/Lyyoness/CS156-Machine-Learning,1
Categories.Application Programming Interface.https://github/SushmitaY/Algorithm-assignment,1
Categories.Application Programming Interface.https://github/mlopezbuendia/CreativeProgrammingA1,1
Categories.Application Programming Interface.https://github/shane1027/Learning CPP,1
Categories.Application Programming Interface.https://github/JaclynNoga/AppliedLearningAssessment,1
Categories.Application Programming Interface.https://github/mrkwse/MLAP-OA,1
