source	target	value	
https://github.com/musicalglass/AKA	Datamining	1	
https://github.com/mikaelbr/frp-piano	NaturalLanguageProcessing	1	
https://github.com/natesmith83/WSU_GoBabyGo_Programming	NaturalLanguageProcessing	1	
https://github.com/karstenv/webmapping-with-qgismapserver-workshop	SupportVectorMachines	1	
https://github.com/karstenv/webmapping-with-qgismapserver-workshop	SupportVectorMachines	1	
https://github.com/lemmatheultimate/weblog	NeuralNetworks	1	
https://github.com/lemmatheultimate/weblog	Predictionbasedonstatisticalmethods	1	
https://github.com/daletoniris/JarvisIA	Predictionbasedonstatisticalmethods	1	
https://github.com/chankwpj/CUROP2016	NeuralNetworks	1	
https://github.com/chankwpj/CUROP2016	Datamining	1	
https://github.com/asymptoticdesign/Programming-Visual-and-Generative-Art	NaturalLanguageProcessing	1	
https://github.com/asymptoticdesign/Programming-Visual-and-Generative-Art	Predictionbasedonstatisticalmethods	1	
https://github.com/epfl-lasa/ML_toolbox	NeuralNetworks	1	
https://github.com/abbood/audioSamplingToAudioQueue	NeuralNetworks	1	
https://github.com/kknet/AlgorithmicTrading	NeuralNetworks	1	
https://github.com/marcojakob/code.makery.ch	Simulatedannealing	1	
https://github.com/andela-foladeji/License-Plate-Recognition-Nigerian-vehicles	NeuralNetworks	1	
https://github.com/vrdmr/CS273a-Introduction-to-Machine-Learning	NeuralNetworks	1	
https://github.com/vrdmr/CS273a-Introduction-to-Machine-Learning	Datamining	1	
https://github.com/loliverhennigh/Computational-Fluid-Dynamics-Machine-Learning-Examples	NeuralNetworks	1	
https://github.com/JacobPlaster/ann-writer	NeuralNetworks	1	
https://github.com/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming	NaturalLanguageProcessing	1	
https://github.com/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming	NeuralNetworks	1	
https://github.com/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming	Predictionbasedonstatisticalmethods	1	
https://github.com/shionguha/cosc3570-introdatascience-fa18	NeuralNetworks	1	
https://github.com/davidoshiro/Learning-Lua	NeuralNetworks	1	
https://github.com/mrsan22/CS109-STAT121-DataScience_Course	Datamining	1	
https://github.com/mrsan22/CS109-STAT121-DataScience_Course	Predictionbasedonstatisticalmethods	1	
https://github.com/muhammedbasuney/CS106A-ProgrammingMethodology	NaturalLanguageProcessing	1	
https://github.com/muhammedbasuney/CS106A-ProgrammingMethodology	SupportVectorMachines	1	
https://github.com/muhammedbasuney/CS106A-ProgrammingMethodology	Predictionbasedonstatisticalmethods	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Simulatedannealing	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	SupportVectorMachines	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Datamining	1	
https://github.com/windyguo2046/Tableau-Citibike-HW20	Predictionbasedonstatisticalmethods	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	NaturalLanguageProcessing	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	NeuralNetworks	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	SupportVectorMachines	1	
https://github.com/ksrdj/coursera-r-programming-peer-assessment-1	Predictionbasedonstatisticalmethods	1	
https://github.com/CarlosSaraiva/bndPssFltr	Datamining	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	NaturalLanguageProcessing	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	NeuralNetworks	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	SupportVectorMachines	1	
https://github.com/agileronin/coursera-r-programming-peer-assessment-1	Predictionbasedonstatisticalmethods	1	
https://github.com/nasiruzzaman/datasciencecoursera	Predictionbasedonstatisticalmethods	1	
https://github.com/shbnq422/cv	Datamining	1	
https://github.com/arjun1237/Inheritance---Java	NaturalLanguageProcessing	1	
https://github.com/arjun1237/Inheritance---Java	Simulatedannealing	1	
https://github.com/arjun1237/Inheritance---Java	NeuralNetworks	1	
https://github.com/arjun1237/Inheritance---Java	SupportVectorMachines	1	
https://github.com/gouthamiexcelr/PMP-Certification-Training-in-Malaysia-Project-Management-Training-in-Malaysia	NaturalLanguageProcessing	1	
https://github.com/gouthamiexcelr/PMP-Certification-Training-in-Malaysia-Project-Management-Training-in-Malaysia	Datamining	1	
https://github.com/miteshgoplani/Student-Database-Mangagement-System	Datamining	1	
https://github.com/TwgInternational/Import-Export-Management	Datamining	1	
https://github.com/TwgInternational/Import-Export-Management	Predictionbasedonstatisticalmethods	1	
https://github.com/TLNsrivalli/atOnePage	NaturalLanguageProcessing	1	
https://github.com/TLNsrivalli/atOnePage	Simulatedannealing	1	
https://github.com/TLNsrivalli/atOnePage	NeuralNetworks	1	
https://github.com/TLNsrivalli/atOnePage	Datamining	1	
https://github.com/TLNsrivalli/atOnePage	Predictionbasedonstatisticalmethods	1	
https://github.com/coachingce1/coachingce1	Datamining	1	
https://github.com/RagyHutch/relias-movie-project	Predictionbasedonstatisticalmethods	1	
https://github.com/yty/A.R.C.	Simulatedannealing	1	
https://github.com/yty/A.R.C.	NeuralNetworks	1	
https://github.com/uluumy/Data4People-Women-s-Health-Risk-Assessment	NeuralNetworks	1	
https://github.com/ChristianHur/152-187-Web-Program-Orientation	NaturalLanguageProcessing	1	
https://github.com/ChristianHur/152-187-Web-Program-Orientation	Datamining	1	
https://github.com/ScottehBoeh/assessment-glencaldy-learning-centre	Predictionbasedonstatisticalmethods	1	
